;Désignation;Compte;Rubrique;Emplacement;Colonne1;Code d'idenification;FOURNISSEUR;Date d'achat;Mis en service;Fin amort.;Durée;Cout d'acquisition en USD ;Taux USD / CDF ;Taux d'amortissement ;Cout d'acquisition en CDF ;mois;prorata;Amortissement 2023;Cumul Amort 2023;VNC 2023;Amortissement 2024;Cumul Amort 2024;VNC 2024;Coéfficient de Révaluation;VBR;CV;AR;CA;SA;ER;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME7NA500729;TA/245100/2022/2001/066;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME;TA/245100/2022/2001/067;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6074BP/01;OPERATION;LA83G2ME9NA500733;TA/245100/2022/2001/068;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6041BP/01;OPERATION;LA83G2MEXNA500742;TA/245100/2022/2001/069;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME0NA500748;TA/245100/2022/2001/070;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6060BP/01;OPERATION;LA83G2ME7NA500682;TA/245100/2022/2001/071;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME5NA500728;TA/245100/2022/2001/072;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6052BP/01;OPERATION;LA83G2ME9NA500716;TA/245100/2022/2001/073;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME3NA500694;TA/245100/2022/2001/074;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3918BP/01;OPERATION;LA83G2ME0NA500698;TA/245100/2022/2001/075;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME3NA500775;TA/245100/2022/2001/076;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2MEXNA500692;TA/245100/2022/2001/077;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME5NA500695;TA/245100/2022/2001/078;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3913BP/01;OPERATION;LA83G2ME9NA500750;TA/245100/2022/2001/079;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3917BP/01;OPERATION;LA83G2ME9NA500778;TA/245100/2022/2001/080;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;390BP/01;OPERATION;LA83G2ME5NA500759;TA/245100/2022/2001/081;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3998BP/01;OPERATION;LA83G2ME7NA500701;TA/245100/2022/2001/082;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3896BP/01;OPERATION;LA83G2ME8NA500755;TA/245100/2022/2001/083;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6071BP/01;OPERATION;LA83G2ME;TA/245100/2022/2001/084;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3914BP/01;OPERATION;LA83G2ME2NA500699;TA/245100/2022/2001/085;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6053BP/01;OPERATION;LA83G2ME4NA500767;TA/245100/2022/2001/086;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3895BP/01;OPERATION;LA83G2ME9NA500697;TA/245100/2022/2001/087;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME0NA500684;TA/245100/2022/2001/088;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME5NA500762;TA/245100/2022/2001/089;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2MEXNA500725;TA/245100/2022/2001/090;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3900BP/01;OPERATION;LA83G2ME2NA500718;TA/245100/2022/2001/091;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME2NA500704;TA/245100/2022/2001/092;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME9NA500747;TA/245100/2022/2001/093;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6046BP/01;OPERATION;LA83G2ME3NA500713;TA/245100/2022/2001/094;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME4NA500767;TA/245100/2022/2001/095;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3909BP/01;OPERATION;LA83G2ME8NA500710;TA/245100/2022/2001/096;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3907BP/01;OPERATION;LA83G2MEXNA500773;TA/245100/2022/2001/097;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3912BP/01;OPERATION;LA83G2ME8NA500769;TA/245100/2022/2001/098;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6067BP/01;OPERATION;LA83G2ME1NA500760;TA/245100/2022/2001/099;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6056BP/01;OPERATION;LA83G2ME6NA500687;TA/245100/2022/2001/100;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOCAR;245100;6076BP/01;OPERATION;LA83G2ME6NA500611;TA/245100/2022/2001/101;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;3920BP/01;OPERATION;LA83G2ME0NA500619;TA/245100/2022/2001/102;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;Sans;OPERATION;LA83G2ME8NA500609;TA/245100/2022/2001/103;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;3919BP/01;OPERATION;LA83G2ME9NA500621;TA/245100/2022/2001/104;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6061BP/01;OPERATION;LA83G2ME0NA500622;TA/245100/2022/2001/105;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;3921BP/01;OPERATION;LA83G2ME1NA500614;TA/245100/2022/2001/106;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6064BP/01;OPERATION;LA83G2ME7NA500603;TA/245100/2022/2001/107;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;Sans;OPERATION;LA83G2ME3NA500615;TA/245100/2022/2001/108;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6065BP/01;OPERATION;LA83G2ME4NA500607;TA/245100/2022/2001/109;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6050BP/01;OPERATION;LA83G2ME9NA500604;TA/245100/2022/2001/110;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6070BP/01;OPERATION;LA83G2ME8NA500612;TA/245100/2022/2001/111;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;3897BP/01;OPERATION;LA83G2ME7NA500617;TA/245100/2022/2001/112;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6073BP/01;OPERATION;LA83G2ME6NA500608;TA/245100/2022/2001/113;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6069BP/01;OPERATION;LA83G2ME7NA500620;TA/245100/2022/2001/114;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6042BP/01;OPERATION;LA83G2ME2NA500606;TA/245100/2022/2001/115;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;Sans;OPERATION;LA83G2ME5NA500616;TA/245100/2022/2001/116;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;3901BP/01;OPERATION;LA83G2ME0NA500605;TA/245100/2022/2001/117;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6045BP/01;OPERATION;LA83G2MEXNA500613;TA/245100/2022/2001/118;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6049BP/01;OPERATION;LA83G2ME4NA500610;TA/245100/2022/2001/119;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
;ANKAII AUTOCAR;245100;6087BP/01;OPERATION;LA83G2ME9NA500618;TA/245100/2022/2001/120;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;161 567,00;2 365,95;20,00;382 259 443,65;3;10;76 451 888,73;76 451 888,73;305 807 554,92; 	76 451 888,73 FC ; 	152 903 777,46 FC ; 	229 355 666,19 FC ;1,3;496 937 276,75;114 677 833,10;198 774 910,70;45 871 133,24;0,00;68 806 699,86;
